,人物ID,著者名,作品ID,作品名,仮名遣い種別,翻訳者名等,入力者名,校正者名,状態,状態の開始日,底本名,出版社名,入力に使用した版,校正に使用した版
49,879,芥川 竜之介,15,アグニの神,新字旧仮名,,j.utiyama,かとうかおり,公開,1998-12-11,現代日本文學大系　43　芥川龍之介集,筑摩書房,1968（昭和43）年8月25日初版第1刷,
50,879,芥川 竜之介,43014,アグニの神,新字新仮名,,蒋龍,noriko saito,公開,2005-02-06,蜘蛛の糸・杜子春,新潮文庫、新潮社,1989（平成元）年5月30日46刷,2004（平成16）年6月5日67刷
113,879,芥川 竜之介,69,河童,新字新仮名,,もりみつじゅんじ,かとうかおり,公開,1999-01-24,河童・或る阿呆の一生,旺文社文庫、旺文社,1984（昭和59）年重版,
114,879,芥川 竜之介,45761,河童,新字旧仮名,,五十嵐仁,小林繁雄,公開,2010-05-29,芥川龍之介全集　第十四巻,岩波書店,1996（平成8）年12月9日,1996（平成8）年12月9日
151,879,芥川 竜之介,37,戯作三昧,新字旧仮名,,j.utiyama,かとうかおり,公開,1999-01-16,現代日本文学大系　43　芥川龍之介集,筑摩書房,1968（昭和43）年8月25日初版第1刷,
152,879,芥川 竜之介,38,戯作三昧,新字新仮名,,佐野良二,伊藤時也,公開,2000-04-15,日本の文学　29　芥川龍之介,中央公論社,1964（昭和39）年10月5日初版,1973（昭和48）年7月30日42刷
188,879,芥川 竜之介,60,地獄変,新字旧仮名,,もりみつじゅんじ,j.utiyama,公開,1998-12-02,芥川龍之介全集　第一巻,岩波書店,,
189,879,芥川 竜之介,61,地獄変,旧字旧仮名,,j.utiyama,富田倫生,公開,1999-11-02,傀儡師,特選名著復刻全集近代文学館、日本近代文学館,,
202,879,芥川 竜之介,158,侏儒の言葉,新字新仮名,,j.utiyama,かとうかおり,公開,1999-01-13,芥川龍之介全集7,ちくま文庫、筑摩書房,1998（平成10）年2月17日第4刷,1998（平成10）年2月17日第4刷
203,879,芥川 竜之介,43751,侏儒の言葉,新字旧仮名,,五十嵐仁,林幸雄,公開,2007-10-11,芥川龍之介全集　第十三巻,岩波書店,1996（平成8）年11月8日発行,1996（平成8）年11月8日発行
228,879,芥川 竜之介,2325,仙人,新字旧仮名,,j.utiyama,j.utiyama,公開,1999-02-15,芥川龍之介全集　第四巻,筑摩書房,1971（昭和46）年10月5日初版第5刷,1971（昭和46）年10月5日初版第5刷
229,879,芥川 竜之介,144,仙人,新字新仮名,,j.utiyama,かとうかおり,公開,1999-01-05,芥川龍之介全集5,ちくま文庫、筑摩書房,1995（平成7）年4月10日第6刷,1996（平成8）年7月15日第7刷
230,879,芥川 竜之介,143,仙人,新字新仮名,,j.utiyama,かとうかおり,公開,1998-12-06,芥川龍之介全集1,ちくま文庫、筑摩書房,1995（平成7）年10月5日第13刷,1997（平成9）年4月15日第14刷
277,879,芥川 竜之介,170,杜子春,新字旧仮名,,j.utiyama,野口英司,公開,1998-05-20,現代日本文学大系　43　芥川龍之介集,筑摩書房,1968（昭和43）年8月25日初版第1刷,
278,879,芥川 竜之介,43015,杜子春,新字新仮名,,蒋龍,noriko saito,公開,2005-02-07,蜘蛛の糸・杜子春,新潮文庫、新潮社,1989（平成元）年5月30日46刷,2004（平成16）年6月5日67刷
308,879,芥川 竜之介,40,歯車,新字旧仮名,,j.utiyama,かとうかおり,公開,1998-04-27,現代日本文学大系　43　芥川龍之介集,筑摩書房,1968（昭和43）年8月25日初版第1刷,
309,879,芥川 竜之介,42377,歯車,新字新仮名,,蒋龍,田中敬三,公開,2009-04-09,河童・或阿呆の一生,新潮文庫、新潮社,1987（昭和62）年11月5日41刷,1975（昭和50）年7月30日13刷
361,879,芥川 竜之介,55721,本所両国,新字新仮名,,門田裕志,仙酔ゑびす,公開,2013-07-24,大東京繁昌記,毎日新聞社,1999（平成11）年5月15日,1999（平成11）年5月15日
362,879,芥川 竜之介,48,本所両国,新字旧仮名,,j.utiyama,もりみつじゅんじ,公開,1999-08-23,芥川龍之介全集　第四巻,筑摩書房,1971（昭和46）年10月5日初版第5刷,
